LONGITUDE;LATITUDE;CODE_COMMUNE;CODE_POSTAL;COMMUNE
4.9324;48.0292;52114;52120;CHATEAUVILLAIN
4.9324;48.0292;52114;52120;CHATEAUVILLAIN
4.9324;48.0292;52114;52120;CHATEAUVILLAIN
3.0643;45.7386;63070;63122;CEYRAT
3.0643;45.7386;63070;63122;CEYRAT
2.8769;42.7786;66164;66600;RIVESALTES
5.6014;48.2051;52064;52150;BOURMONT
5.6014;48.2051;52064;52150;BOURMONT
1.477;46.0553;87181;87370;ST SULPICE LAURIERE
1.3966;45.8977;87178;87480;ST PRIEST TAURION
4.077;46.2165;71238;71340;IGUERANDE
1.5325;46.127;23192;23290;ST ETIENNE DE FURSAC
4.3417;46.2066;71120;71170;CHAUFFAILLES
3.8203;44.5519;48040;48250;CHASSERADES
3.2643;49.1629;02543;02470;NEUILLY ST FRONT
1.3853;48.1812;28051;28800;BONNEVAL
1.9892;43.6351;81266;81220;ST PAUL CAP DE JOUX
-2.052;47.1224;44131;44210;PORNIC
-2.052;47.1224;44131;44210;PORNIC
-2.052;47.1224;44131;44210;PORNIC
0.7907;47.2933;37104;37320;ESVRES
3.8133;47.4102;89145;89450;DOMECY SUR CURE
6.3004;43.3206;83067;83590;GONFARON
1.9218;49.447;60333;60650;LACHAPELLE AUX POTS
3.7064;43.5694;34088;34660;COURNONTERRAL
1.1145;43.4122;31454;31370;RIEUMES
6.7664;45.6647;73054;73700;BOURG ST MAURICE
6.7664;45.6647;73054;73700;BOURG ST MAURICE
6.7664;45.6647;73054;73700;BOURG ST MAURICE
-0.7934;46.4563;85092;85200;FONTENAY LE COMTE
-0.7934;46.4563;85092;85200;FONTENAY LE COMTE
8.952;42.1241;2A259;20121;REZZA
9.3303;41.7531;2A092;20135;CONCA
-0.1265;42.8522;65138;65110;CAUTERETS
2.3443;48.5145;91315;91760;ITTEVILLE
3.3497;47.512;89158;89480;ETAIS LA SAUVIN
-3.8233;48.2558;29175;29530;PLONEVEZ DU FAOU
-4.6695;48.538;29178;29830;PLOUDALMEZEAU
-4.6695;48.538;29178;29830;PLOUDALMEZEAU
6.5141;48.1133;88011;88380;ARCHES
-2.3621;48.6348;22179;22240;FREHEL
-2.3621;48.6348;22179;22240;FREHEL
-2.3621;48.6348;22179;22240;FREHEL
0.9733;45.7681;87158;87310;ST LAURENT SUR GORRE
-1.123;45.7467;17021;17530;ARVERT
5.9545;48.2013;88516;88800;VITTEL
7.1528;43.6715;06027;06800;CAGNES SUR MER
7.1528;43.6715;06027;06800;CAGNES SUR MER
-0.9405;43.798;40230;40465;PONTONX SUR L ADOUR
1.782;43.8975;81145;81310;LISLE SUR TARN
2.3809;44.6739;15029;15340;CASSANIOUZE
2.6141;48.7871;77373;77340;PONTAULT COMBAULT
2.6141;48.7871;77373;77340;PONTAULT COMBAULT
0.2007;48.9245;61508;61120;VIMOUTIERS
6.1955;49.1081;57463;57050;METZ
6.1955;49.1081;57463;57070;METZ
6.1955;49.1081;57463;57000;METZ
7.6852;48.4214;67130;67150;ERSTEIN
7.6852;48.4214;67130;67150;ERSTEIN
-0.6256;46.0667;17043;17330;BERNAY ST MARTIN
-0.6256;46.0667;17043;17330;BERNAY ST MARTIN
3.631;45.7366;63016;63930;AUGEROLLES
-0.3601;44.48;33307;33730;NOAILLAN
-1.3245;45.9763;17337;17190;ST GEORGES D OLERON
-1.3245;45.9763;17337;17190;ST GEORGES D OLERON
-1.3245;45.9763;17337;17190;ST GEORGES D OLERON
-1.3245;45.9763;17337;17190;ST GEORGES D OLERON
-1.3245;45.9763;17337;17190;ST GEORGES D OLERON
-1.3245;45.9763;17337;17190;ST GEORGES D OLERON
6.5769;43.4687;83086;83490;LE MUY
